Song,Artist,Difficulty,Lv,CC,Notes,Chart designer,Version
Turbocharger,A/I,Future,9,9,979,Toaster,3.6.2
THE ULTIMACY,aran vs Massive New Krew,Past,3,3,749,東星 vs Toaster,3.6.4
THE ULTIMACY,aran vs Massive New Krew,Present,7,7,919,東星 vs Toaster,3.6.4
THE ULTIMACY,aran vs Massive New Krew,Future,9+,9.8,1304,東星 vs Toaster,3.6.4
REKKA RESONANCE,REDALiCE vs Kobaryo,Past,5,5,860,夜浪 vs Nitro,3.6.4
REKKA RESONANCE,REDALiCE vs Kobaryo,Present,8+,8.9,1051,夜浪 vs Nitro,3.6.4
REKKA RESONANCE,REDALiCE vs Kobaryo,Future,10+,10.7,1212,夜浪 vs Nitro,3.6.4
False Embellishment,影虎。 & ikaruga_nex,Past,3,3.5,576,Exschwasion,3.7.0
False Embellishment,影虎。 & ikaruga_nex,Present,6,6.5,684,Exschwasion,3.7.0
False Embellishment,影虎。 & ikaruga_nex,Future,9,9.3,969,Exschwasion,3.7.0
HIVEMIND,かたぎり,Past,4,4,995,NITRO -unconnected-,3.7.0
HIVEMIND,かたぎり,Present,8,8.6,988,NITRO -unconnected-,3.7.0
HIVEMIND,かたぎり,Future,10,10,1252,NITRO -unconnected-,3.7.0
Seclusion,Laur feat. Sennzai,Past,4,4,544,Exschwasion,3.7.0
Seclusion,Laur feat. Sennzai,Present,7,7.5,762,Exschwasion,3.7.0
Seclusion,Laur feat. Sennzai,Future,10,10.6,1132,N•Ex•T,3.7.0
Small Cloud Sugar Candy,テヅカ x Aoi feat.桃雛なの,Past,3,3,548,én,3.7.0
Small Cloud Sugar Candy,テヅカ x Aoi feat.桃雛なの,Present,6,6.5,727,én,3.7.0
Small Cloud Sugar Candy,テヅカ x Aoi feat.桃雛なの,Future,9,9.3,919,én,3.7.0
AlterAle,Arik Kau Delay (アラ＆かゆき＆でり）,Past,3,3,728,CERiNG,3.7.0
AlterAle,Arik Kau Delay (アラ＆かゆき＆でり）,Present,6,6,881,CERiNG,3.7.0
AlterAle,Arik Kau Delay (アラ＆かゆき＆でり）,Future,9+,9.7,1277,CERiNG,3.7.0
Divine Light of Myriad,yoho,Past,4,4.5,798,東星※神授,3.7.0
Divine Light of Myriad,yoho,Present,7+,7.8,835,東星※神授,3.7.0
Divine Light of Myriad,yoho,Future,10+,10.8,1021,東星※神授,3.7.0
Mazy Metroplex,aran,Past,3,3,453,Exschwasion,3.8.0
Mazy Metroplex,aran,Present,7+,7.8,704,Exschwasion,3.8.0
Mazy Metroplex,aran,Future,9+,9.8,952,Exschwasion,3.8.0
Quon,DJ Noriken,Past,2,2.5,425,CERiNG,3.8.0
Quon,DJ Noriken,Present,6,6,496,CERiNG,3.8.0
Quon,DJ Noriken,Future,8+,8.7,749,CERiNG,3.8.0
Quon,DJ Noriken,Beyond,10,10.2,1044,XIII: The Journey/Nitro,3.8.0
with U,t+pazolite & Massive New Krew feat. リリィ(CV:青木志貴),Past,2,2.5,448,én,3.8.0
with U,t+pazolite & Massive New Krew feat. リリィ(CV:青木志貴),Present,6,6.5,649,én,3.8.0
with U,t+pazolite & Massive New Krew feat. リリィ(CV:青木志貴),Future,9,9.4,932,én,3.8.0
GENOCIDER,DJ Myosuke,Past,4,4.5,832,Toaster,3.8.0
GENOCIDER,DJ Myosuke,Present,8+,8.9,1025,Toaster,3.8.0
GENOCIDER,DJ Myosuke,Future,10+,10.8,1483,Toaster,3.8.0
Let you DIVE! (nitro rmx),nitro (lowiro),Past,3,3,608,Nitro,3.8.0
Let you DIVE! (nitro rmx),nitro (lowiro),Present,6,6.5,819,Nitro,3.8.0
Let you DIVE! (nitro rmx),nitro (lowiro),Future,9,9.4,1049,Nitro,3.8.0
Sheriruth (Laur Remix),Laur,Past,4,4,671,Nitro,3.8.0
Sheriruth (Laur Remix),Laur,Present,7+,7.8,795,Nitro,3.8.0
Sheriruth (Laur Remix),Laur,Future,10,10.5,1134,東星※恣意,3.8.0
Evening in Scarlet,Freezer feat.妃苺,Past,4,4,530,Nitroだー！,3.8.2
Evening in Scarlet,Freezer feat.妃苺,Present,7,7,638,Nitroだー！,3.8.2
Evening in Scarlet,Freezer feat.妃苺,Future,9,9.5,922,Nitroだー！,3.8.2
blue comet,ああああ,Past,3,3.5,494,Toaster,3.8.2
blue comet,ああああ,Present,5,5,645,Toaster,3.8.2
blue comet,ああああ,Future,8,8.2,776,Toaster,3.8.2
ENERGY SYNERGY MATRIX,Tanchiky,Past,3,3.5,471,POWER NITRO,3.8.4
ENERGY SYNERGY MATRIX,Tanchiky,Present,7,7,608,POWER NITRO,3.8.4
ENERGY SYNERGY MATRIX,Tanchiky,Future,9,9.6,922,POWER NITRO,3.8.4
ENERGY SYNERGY MATRIX,Tanchiky,Beyond,10,10.3,1011,白亜紀と古第三紀の間の大量絶滅,6.4.0
G e n g a o z o,-45,Past,4,4,580,_ P A S T,3.8.6
G e n g a o z o,-45,Present,8,8.1,870,_ P R E S E N T,3.8.6
G e n g a o z o,-45,Future,10,10.1,1353,_ F U T U R E,3.8.6
goldenslaughterer,zts,Past,4,4,864,Exschwasion,3.8.6
goldenslaughterer,zts,Present,6,6.5,880,Exschwasion,3.8.6
goldenslaughterer,zts,Future,9+,9.7,1326,Exschwasion,3.8.6
lastendconductor,zts,Past,3,3.5,726,Nitro,3.8.6
lastendconductor,zts,Present,7,7.5,901,Nitro,3.8.6
lastendconductor,zts,Future,9,9.4,1209,Nitro,3.8.6
lastendconductor,zts,Beyond,10,10.2,1339,Toaster,3.8.6
Redolent Shape,Sanaas,Past,4,4.5,570,絶滅,3.8.8
Redolent Shape,Sanaas,Present,7,7.5,717,絶滅,3.8.8
Redolent Shape,Sanaas,Future,10,10.2,1088,絶滅,3.8.8
Cosmica,Nhato,Past,2,2.5,428,Nitro,3.9.0
Cosmica,Nhato,Present,5,5,566,Nitro,3.9.0
Cosmica,Nhato,Future,8+,8.8,773,Nitro missing Toaster.,3.9.0
Ascent,TANUKI,Past,3,3,455,CER↑NG,3.9.0
Ascent,TANUKI,Present,6,6,626,CER↑NG,3.9.0
Ascent,TANUKI,Future,9+,9.8,1023,Exschwas↑on with CER↑NG,3.9.0
Live Fast Die Young,anubasu-anubasu,Past,4,4.5,565,Nitro,3.9.0
Live Fast Die Young,anubasu-anubasu,Present,8,8.5,837,Nitro,3.9.0
Live Fast Die Young,anubasu-anubasu,Future,10,10.6,1292,Nitro with Toaster.,3.9.0
Summer Fireworks of Love,karatoPαnchii feat.はるの,Past,3,3,478,夏のNitro,3.9.0
Summer Fireworks of Love,karatoPαnchii feat.はるの,Present,6,6.5,641,夏のNitro,3.9.0
Summer Fireworks of Love,karatoPαnchii feat.はるの,Future,9+,9.9,1088,夏のNitro,3.9.0
First Snow,黒魔,Past,2,2.5,366,Nitro,3.10.0
First Snow,黒魔,Present,4,4.5,442,Nitro,3.10.0
First Snow,黒魔,Future,7+,7.8,578,Nitro,3.10.0
Blue Rose,Cosmograph,Past,2,2,595,CERiNG,3.10.0
Blue Rose,Cosmograph,Present,6,6,669,CERiNG,3.10.0
Blue Rose,Cosmograph,Future,9,9.1,955,CERiNG,3.10.0
Blocked Library,影虎。,Past,3,3.5,449,Exschwasion,3.10.0
Blocked Library,影虎。,Present,6,6.5,622,Exschwasion,3.10.0
Blocked Library,影虎。,Future,9,9.3,850,Exschwasion,3.10.0
nέο κόsmo,ak+q × Street,Past,4,4,603,Nitro × Toaster,3.10.0
nέο κόsmo,ak+q × Street,Present,7+,7.8,791,Nitro × Toaster,3.10.0
nέο κόsmo,ak+q × Street,Future,9+,9.7,979,Nitro × Toaster,3.10.0
Lightning Screw,HiTECH NINJA,Past,4,4.5,611,東星,3.10.0
Lightning Screw,HiTECH NINJA,Present,7+,7.8,811,東星,3.10.0
Lightning Screw,HiTECH NINJA,Future,10,10.5,1192,東星,3.10.0
Lights of Muse,Ayatsugu_Otowa,Past,2,2.5,333,antymis,3.11.0
Lights of Muse,Ayatsugu_Otowa,Present,6,6,438,antymis,3.11.0
Lights of Muse,Ayatsugu_Otowa,Future,8+,8.9,580,antymis,3.11.0
Final Step!,Lime,Past,3,3.5,625,CERiNG,3.11.0
Final Step!,Lime,Present,6,6.5,684,CERiNG,3.11.0
Final Step!,Lime,Future,9,9.4,1056,CERiNG,3.11.0
Haze of Autumn,karatoPαnchii feat.はるの,Past,3,3.5,533,秋のén,3.11.0
Haze of Autumn,karatoPαnchii feat.はるの,Present,7,7,733,秋のén,3.11.0
Haze of Autumn,karatoPαnchii feat.はるの,Future,9+,9.8,1077,秋のén,3.11.0
Medusa,HiTECH NINJA,Past,4,4.5,550,Toaster,3.11.0
Medusa,HiTECH NINJA,Present,7,7,645,Toaster,3.11.0
Medusa,HiTECH NINJA,Future,10,10.1,931,Toaster,3.11.0
init(),kamome sano,Past,4,4,713,Toaster,3.11.2
init(),kamome sano,Present,7,7.5,957,Toaster,3.11.2
init(),kamome sano,Future,9+,9.8,1204,Toaster,3.11.2
INTERNET OVERDOSE,Aiobahn feat. KOTOKO,Past,3,3,430,Nitro Ch.,3.12.0
INTERNET OVERDOSE,Aiobahn feat. KOTOKO,Present,6,6.5,578,Nitro Ch.,3.12.0
INTERNET OVERDOSE,Aiobahn feat. KOTOKO,Future,8,8.4,657,Nitro Ch.,3.12.0
Sakura Fubuki,Street,Past,3,3.5,526,én,3.12.0
Sakura Fubuki,Street,Present,6,6.5,571,én,3.12.0
Sakura Fubuki,Street,Future,9,9.4,837,én,3.12.0
NULCTRL,Silentroom,Past,3,3,407,moonquay [CON],3.12.0
NULCTRL,Silentroom,Present,7,7.5,410,moonquay [AUX],3.12.0
NULCTRL,Silentroom,Future,9,9.5,715,moonquay [NUL],3.12.0
Macrocosmic Modulation,JAKAZiD,Past,4,4,608,Exschwas↕on,3.12.0
Macrocosmic Modulation,JAKAZiD,Present,7+,7.8,794,Exschwas↕on,3.12.0
Macrocosmic Modulation,JAKAZiD,Future,9+,9.8,1117,Exschwas↕on,3.12.0
NEO WINGS,SOUND HOLIC feat. Nana Takahashi,Past,4,4,591,Toaster,3.12.0
NEO WINGS,SOUND HOLIC feat. Nana Takahashi,Present,7,7.5,840,Toaster,3.12.0
NEO WINGS,SOUND HOLIC feat. Nana Takahashi,Future,10,10.2,1328,Toaster,3.12.0
Kissing Lucifer,ETIA.,Past,4,4.5,639,NITRO,3.12.0
Kissing Lucifer,ETIA.,Present,7+,7.8,770,NITRO,3.12.0
Kissing Lucifer,ETIA.,Future,10,10.4,1183,NITRO,3.12.0
Ävril -Flicka i krans-,Rigël Theatre,Past,3,3,459,Aster -Får i Vaaris-,3.12.0
Ävril -Flicka i krans-,Rigël Theatre,Present,6,6,607,Aster -Får i Vaaris-,3.12.0
Ävril -Flicka i krans-,Rigël Theatre,Future,8,8.3,851,Aster -Får i Vaaris-,3.12.0
Aurgelmir,溝口ゆうま feat. 大瀬良あい,Past,4,4.5,540,夜浪,3.12.4
Aurgelmir,溝口ゆうま feat. 大瀬良あい,Present,8,8.5,765,夜浪,3.12.4
Aurgelmir,溝口ゆうま feat. 大瀬良あい,Future,10,10.5,1100,夜浪,3.12.4
Head BONK ache,saaa ft. MC iwata Bros.,Past,4,4,570,Nitro,3.12.4
Head BONK ache,saaa ft. MC iwata Bros.,Present,7,7,725,Nitro,3.12.4
Head BONK ache,saaa ft. MC iwata Bros.,Future,9,9.4,1061,Nitro,3.12.4
DDD,はがね,Past,2,2.5,363,én,3.12.4
DDD,はがね,Present,6,6.5,484,én,3.12.4
DDD,はがね,Future,8,8.5,653,én,3.12.4
Prism,bermei.inazawa ft. Chata,Past,2,2,476,CERiNG,3.12.8
Prism,bermei.inazawa ft. Chata,Present,5,5,544,CERiNG,3.12.8
Prism,bermei.inazawa ft. Chata,Future,8,8,785,CERiNG,3.12.8
Protoflicker,Silentroom,Past,3,3,510,antymis <prototype>,3.12.8
Protoflicker,Silentroom,Present,7,7,633,antymis <prototype>,3.12.8
Protoflicker,Silentroom,Future,9+,9.8,1042,antymis <prototype>,3.12.8
Stasis,Maozon,Past,4,4.5,848,東星,3.12.8
Stasis,Maozon,Present,7,7,935,東星,3.12.8
Stasis,Maozon,Future,10+,10.8,1521,東星,3.12.8
PICO-Pico-Translation!,"t+pazolite,ななひら,Cranky,Pico*",Past,2,2,543,Translated by én,3.12.8
PICO-Pico-Translation!,"t+pazolite,ななひら,Cranky,Pico*",Present,6,6,723,Translated by én,3.12.8
PICO-Pico-Translation!,"t+pazolite,ななひら,Cranky,Pico*",Future,9,9.4,1049,Translated by én,3.12.8
Dancin' on a Cat's Paw,Ino(chronoize),Past,3,3,417,antymis,3.12.8
Dancin' on a Cat's Paw,Ino(chronoize),Present,6,6,593,antymis,3.12.8
Dancin' on a Cat's Paw,Ino(chronoize),Future,9,9.2,891,antymis,3.12.8
μ,Frums,Past,3,3.5,825,N↕TRO v1.0.5,3.12.10
μ,Frums,Present,7,7.5,986,N↕TRO v1.0.5,3.12.10
μ,Frums,Future,9+,9.7,1256,N↕TRO v1.0.5,3.12.10
san skia,ユアミトス,Past,3,3.5,670,CERiNG,3.12.10
san skia,ユアミトス,Present,6,6,783,CERiNG,3.12.10
san skia,ユアミトス,Future,8,8.3,1046,CERiNG,3.12.10
Altair (feat. *spiLa*),kamome sano & you,Past,2,2.5,670,antymis,4.0.0
Altair (feat. *spiLa*),kamome sano & you,Present,6,6,828,antymis,4.0.0
Altair (feat. *spiLa*),kamome sano & you,Future,8,8.5,830,antymis,4.0.0
Redraw the Colorless World,MisomyL,Past,4,4,568,antymis ~無色~,4.0.0
Redraw the Colorless World,MisomyL,Present,6,6.5,680,antymis ~彩色~,4.0.0
Redraw the Colorless World,MisomyL,Future,9,9.4,886,antymis ~虹色~,4.0.0
Trap Crow,Puru,Past,4,4.5,876,CERiNG + Nitro,4.0.0
Trap Crow,Puru,Present,7+,7.8,898,CERiNG + Nitro,4.0.0
Trap Crow,Puru,Future,9+,9.9,1074,CERiNG + Nitro,4.0.0
PUPA,モリモリあつし,Past,4,4,374,én -胡蝶の夢-,4.0.0
PUPA,モリモリあつし,Present,7+,7.8,684,én -胡蝶の夢-,4.0.0
PUPA,モリモリあつし,Future,10,10.4,1099,én -胡蝶の夢-,4.0.0
Defection,TeddyLoid feat. DELTA,Past,3,3.5,588,Monolith Incarnate,4.0.0
Defection,TeddyLoid feat. DELTA,Present,6,6.5,800,Monolith Incarnate,4.0.0
Defection,TeddyLoid feat. DELTA,Future,9+,9.8,1141,Monolith Incarnate,4.0.0
"Infinite Strife,",BlackYooh vs. siromaru,Past,4,4,888,Inner Labyrinth,4.0.0
"Infinite Strife,",BlackYooh vs. siromaru,Present,7,7.5,1081,Inner Labyrinth,4.0.0
"Infinite Strife,",BlackYooh vs. siromaru,Future,9+,9.9,1511,Inner Labyrinth,4.0.0
"Infinite Strife,",BlackYooh vs. siromaru,Beyond,10+,10.9,1633,Inner Labyrinth,4.0.0
World Ender,sasakure.UK × TJ.hangneil,Past,4,4,616,Imaginary Sky,4.0.0
World Ender,sasakure.UK × TJ.hangneil,Present,7+,7.8,850,Imaginary Sky,4.0.0
World Ender,sasakure.UK × TJ.hangneil,Future,10,10,1225,Imaginary Sky,4.0.0
World Ender,sasakure.UK × TJ.hangneil,Beyond,11,11.1,1661,Imaginary Sky,4.0.0
Pentiment,Nothing But Requiem with Museo,Past,7,7,911,Paradox Blight,4.0.0
Pentiment,Nothing But Requiem with Museo,Present,8+,8.7,1055,Paradox Blight,4.0.0
Pentiment,Nothing But Requiem with Museo,Future,10,10.4,1345,Paradox Blight,4.0.0
Pentiment,Nothing But Requiem with Museo,Beyond,11,11.5,1741,Paradox Blight,4.0.0
Arcana Eden,Team Grimoire vs Sakuzyo vs Laur,Past,5,5.5,1097,Eye of the Storm,4.0.0
Arcana Eden,Team Grimoire vs Sakuzyo vs Laur,Present,8+,8.7,1310,Eye of the Storm,4.0.0
Arcana Eden,Team Grimoire vs Sakuzyo vs Laur,Future,10,10.5,1792,Eye of the Storm,4.0.0
Arcana Eden,Team Grimoire vs Sakuzyo vs Laur,Beyond,11,11.6,2134,Eye of the Storm,4.0.0
Testify,void (Mournfinale) feat. 星熊南巫,Past,7+,7.8,1001,Eternal¦PAST,4.0.0
Testify,void (Mournfinale) feat. 星熊南巫,Present,9,9.4,1225,Adverse¦PRESENT,4.0.0
Testify,void (Mournfinale) feat. 星熊南巫,Future,10+,10.9,1766,Black¦FUTURE,4.0.0
Testify,void (Mournfinale) feat. 星熊南巫,Beyond,12,12,2221,Silent¦END,4.0.0
Loveless Dress,かねこちはる,Past,3,3.5,537,Final Prayer,4.0.255
Loveless Dress,かねこちはる,Present,6,6.5,630,Final Prayer,4.0.255
Loveless Dress,かねこちはる,Future,9+,9.7,850,Final Prayer,4.0.255
Last,onoken,Past,4,4,680,Arcaea,4.0.255
Last,onoken,Present,7,7,781,Arcaea,4.0.255
Last,onoken,Future,9,9,831,Arcaea,4.0.255
Last | Moment,onoken,Beyond,9,9.6,888,Arcaea,4.0.255
Last | Eternity,onoken,Beyond,9+,9.7,790,Arcaea,4.0.255
Callima Karma,t+pazolite vs Feryquitous,Past,3,3.5,1024,Forlorn Dream,4.0.255
Callima Karma,t+pazolite vs Feryquitous,Present,7,7.5,989,Forlorn Dream,4.0.255
Callima Karma,t+pazolite vs Feryquitous,Future,9+,9.8,1222,Forlorn Dream,4.0.255
Heart,削除 (Violin : Katali),Past,1,1,428,écologie (from SEGA),4.1.0
Heart,削除 (Violin : Katali),Present,5,5,575,écologie (from SEGA),4.1.0
Heart,削除 (Violin : Katali),Future,9,9.6,872,écologie (from SEGA),4.1.0
Ai Drew,Feryquitous,Past,3,3.5,694,moonquay【新入生】,4.1.0
Ai Drew,Feryquitous,Present,6,6.5,732,moonquay v.EXPERT,4.1.0
Ai Drew,Feryquitous,Future,9+,9.8,1066,moonquay v.MASTER,4.1.0
FLUFFY FLASH,Kobaryo,Past,3,3.5,787,Toaster,4.1.0
FLUFFY FLASH,Kobaryo,Present,6,6.5,946,Toaster,4.1.0
FLUFFY FLASH,Kobaryo,Future,9+,9.8,1329,Toaster,4.1.0
"Good bye, Merry-Go-Round.",Yooh,Past,4,4.5,679,絶滅,4.1.0
"Good bye, Merry-Go-Round.",Yooh,Present,7,7.5,696,絶滅,4.1.0
"Good bye, Merry-Go-Round.",Yooh,Future,10,10.6,1084,絶滅,4.1.0
LAMIA,BlackY,Past,5,5,826,夜浪,4.1.0
LAMIA,BlackY,Present,8,8.5,885,夜浪「ノブレス・オブリージュ」,4.1.0
LAMIA,BlackY,Future,11,11,1385,[漆黒の執行者] 夜浪,4.1.0
Free Myself,lapix feat. mami,Past,4,4.5,662,Exschwasion,4.1.4
Free Myself,lapix feat. mami,Present,7,7.5,785,Exschwasion,4.1.4
Free Myself,lapix feat. mami,Future,10,10,1132,Exschwasion -unbound-,4.1.4
cocoro*cosmetic,KOTONOHOUSE,Past,3,3,525,Nitro,4.1.4
cocoro*cosmetic,KOTONOHOUSE,Present,7,7,687,Nitro,4.1.4
cocoro*cosmetic,KOTONOHOUSE,Future,9,9.2,1025,Nitro,4.1.4
Capella,ARForest,Past,4,4.5,884,0°Nitro,4.1.6
Capella,ARForest,Present,7+,7.8,904,0°Nitro,4.1.6
Capella,ARForest,Future,10,10.2,1159,0°Nitro,4.1.6
Dialnote,七草くりむ,Past,3,3,393,Nitroです。,4.1.6
Dialnote,七草くりむ,Present,6,6,548,Nitroです。,4.1.6
Dialnote,七草くりむ,Future,8+,8.8,684,Nitroです。,4.1.6
"Tsuki ni Murakumo, Hana ni Kaze",幽閉サテライト,Past,3,3,468,Lovely Visitor「Toaster」,4.2.0
"Tsuki ni Murakumo, Hana ni Kaze",幽閉サテライト,Present,6,6,610,Lovely Visitor「Toaster」,4.2.0
"Tsuki ni Murakumo, Hana ni Kaze",幽閉サテライト,Future,8+,8.7,740,Lovely Visitor「Toaster」,4.2.0
MANTIS (Arcaea Ultra-Bloodrush VIP),Akira Complex feat. kiraku,Past,3,3,575,ANTyMIS,4.2.0
MANTIS (Arcaea Ultra-Bloodrush VIP),Akira Complex feat. kiraku,Present,7,7,760,ANTyMIS,4.2.0
MANTIS (Arcaea Ultra-Bloodrush VIP),Akira Complex feat. kiraku,Future,9,9.4,1014,ANTyMIS,4.2.0
World Fragments III(radio edit),xi,Past,3,3.5,777,én,4.2.0
World Fragments III(radio edit),xi,Present,7,7,999,én,4.2.0
World Fragments III(radio edit),xi,Future,9+,9.8,1387,én supported by Nitro,4.2.0
Astra walkthrough,paraoka,Past,4,4.5,769,Aster,4.2.0
Astra walkthrough,paraoka,Present,7+,7.8,886,Aster,4.2.0
Astra walkthrough,paraoka,Future,9+,9.9,1191,Aster join Toaster.,4.2.0
Chronicle,Lime,Past,5,5,928,夜浪 -Annales Historiae-,4.2.0
Chronicle,Lime,Present,8+,8.9,1077,夜浪 -Annales Historiae-,4.2.0
Chronicle,Lime,Future,10,10.5,1264,夜浪 -Annales Historiae-,4.2.0
NULL APOPHENIA,N²,Past,4,4.5,990,夜浪,4.2.0
NULL APOPHENIA,N²,Present,8+,8.8,1098,夜浪,4.2.0
NULL APOPHENIA,N²,Future,10+,10.7,1299,東星 vs 夜浪《APOPHÄNIE》,4.2.0
Crimson Throne,Dimier√Lisb,Past,4,4,727,Toaster,4.3.0
Crimson Throne,Dimier√Lisb,Present,8,8,1079,Toaster,4.3.0
Crimson Throne,Dimier√Lisb,Future,10,10.6,1313,Toaster,4.3.0
Manic Jeer,ルゼ,Past,4,4,698,NITR<O>,4.3.0
Manic Jeer,ルゼ,Present,7+,7.8,875,NITR<O>,4.3.0
Manic Jeer,ルゼ,Future,10,10.6,1286,NITR<O>,4.3.0
"Hiiro Gekka, Kyoushou no Zetsu (nayuta 2017 ver.)",nayuta x 黒鳥(EastNewSound),Past,3,3.5,719,絶滅 Exschwasion 絶滅 Exschwasion,4.3.0
"Hiiro Gekka, Kyoushou no Zetsu (nayuta 2017 ver.)",nayuta x 黒鳥(EastNewSound),Present,6,6.5,709,絶滅 Exschwasion 絶滅 Exschwasion,4.3.0
"Hiiro Gekka, Kyoushou no Zetsu (nayuta 2017 ver.)",nayuta x 黒鳥(EastNewSound),Future,10,10.3,1126,絶滅 Exschwasion 絶滅 Exschwasion,4.3.0
Let's Rock (Arcaea mix),ikaruga_nex vs FALCHiON,Past,3,3,541,Luxance,4.3.0
Let's Rock (Arcaea mix),ikaruga_nex vs FALCHiON,Present,7,7,963,Luxance,4.3.0
Let's Rock (Arcaea mix),ikaruga_nex vs FALCHiON,Future,9+,9.7,1177,Luxance,4.3.0
CYCLES,Masayoshi Minoshima feat. 綾倉盟,Past,2,2,389,Nitro,4.3.0
CYCLES,Masayoshi Minoshima feat. 綾倉盟,Present,5,5,430,N-Helix,4.3.0
CYCLES,Masayoshi Minoshima feat. 綾倉盟,Future,8+,8.8,695,N-Helix,4.3.0
MAXRAGE,EBIMAYO,Past,3,3.5,696,EXSCHWASION,4.3.0
MAXRAGE,EBIMAYO,Present,6,6.5,760,EXSCHWASION,4.3.0
MAXRAGE,EBIMAYO,Future,9+,9.9,1184,EXSCHWASION,4.3.0
[X],Blacklolita,Past,4,4.5,594,Nitro,4.3.0
[X],Blacklolita,Present,7+,7.8,782,Nitro,4.3.0
[X],Blacklolita,Future,10,10.6,1190,東星,4.3.0
TEmPTaTiON,かねこちはる,Past,5,5,627,EXtINcTiON,4.3.0
TEmPTaTiON,かねこちはる,Present,8,8.2,768,EXtINcTiON,4.3.0
TEmPTaTiON,かねこちはる,Future,10+,10.9,1099,EXtINcTiON,4.3.0
PRIMITIVE LIGHTS,TAG,Past,5,5.5,785,東星※原初の灯,4.3.2
PRIMITIVE LIGHTS,TAG,Present,8+,8.8,1073,東星※原初の灯,4.3.2
PRIMITIVE LIGHTS,TAG,Future,10+,10.8,1524,東星※原初の灯,4.3.2
Cosmo Pop Funclub,ナユタン星人,Past,2,2.5,352,Nitro NEW!!,4.4.0
Cosmo Pop Funclub,ナユタン星人,Present,6,6,591,Nitro NEW!!,4.4.0
Cosmo Pop Funclub,ナユタン星人,Future,8+,8.8,809,Nitro NEW!!,4.4.0
IMPACT,USAO feat. 光吉猛修,Past,3,3.5,723,ÉCOLOGIE IMPACT,4.4.0
IMPACT,USAO feat. 光吉猛修,Present,7+,7.8,913,ÉN IMPACT,4.4.0
IMPACT,USAO feat. 光吉猛修,Future,9,9.6,1231,én feat. écologie,4.4.0
IMPACT,USAO feat. 光吉猛修,Beyond,10,10.4,1392,Toaster NEW!!,4.4.0
Genesis,Morrigan feat.Lily,Past,4,4,587,Exschwasion,4.4.0
Genesis,Morrigan feat.Lily,Present,7,7,838,Exschwasion,4.4.0
Genesis,Morrigan feat.Lily,Future,9+,9.8,867,Exschwasion,4.4.0
Trrricksters!!,s-don vs. 翡乃イスカ,Past,4,4.5,561,絶滅,4.4.0
Trrricksters!!,s-don vs. 翡乃イスカ,Present,7,7.5,784,絶滅,4.4.0
Trrricksters!!,s-don vs. 翡乃イスカ,Future,10,10.1,1183,絶滅,4.4.0
Spider's Thread,きくお×cosMo＠暴走P feat.影縫英,Past,4,4.5,794,夜浪 <->,4.4.0
Spider's Thread,きくお×cosMo＠暴走P feat.影縫英,Present,7+,7.8,764,夜浪 <->,4.4.0
Spider's Thread,きくお×cosMo＠暴走P feat.影縫英,Future,10+,10.8,1203,夜浪 <->,4.4.0
Lost Emotion feat. nomico,Masayoshi Minoshima(ALR),Past,3,3.5,602,ポーカーフェイスのToaster,4.4.4
Lost Emotion feat. nomico,Masayoshi Minoshima(ALR),Present,7,7,780,ポーカーフェイスのToaster,4.4.4
Lost Emotion feat. nomico,Masayoshi Minoshima(ALR),Future,9,9.3,1123,ポーカーフェイスのToaster,4.4.4
GIMMICK,Ms.Sill,Past,2,2.5,421,Nitro,4.4.4
GIMMICK,Ms.Sill,Present,6,6.5,598,Nitro,4.4.4
GIMMICK,Ms.Sill,Future,9,9.5,733,antymis + Nitro,4.4.4
The Survivor (Game Edit),Taishi,Past,3,3.5,817,Nitro,4.4.4
The Survivor (Game Edit),Taishi,Present,6,6.5,750,Nitro,4.4.4
The Survivor (Game Edit),Taishi,Future,9+,9.9,1100,Nitro,4.4.4
New York Back Raise,saaa + kei_iwata + stuv + わかどり,Past,4,4.5,762,Exschwasion 「CHECK」,4.4.4
New York Back Raise,saaa + kei_iwata + stuv + わかどり,Present,7,7,803,Exschwasion 「RAISE」,4.4.4
New York Back Raise,saaa + kei_iwata + stuv + わかどり,Future,9+,9.9,1091,Exschwasion 「ALL IN」,4.4.4
Galactic Love,La prière,Past,3,3,513,én,4.4.6
Galactic Love,La prière,Present,6,6.5,694,én,4.4.6
Galactic Love,La prière,Future,9,9,813,én,4.4.6
Lawless Point,La prière,Past,3,3,476,Luxance,4.4.6
Lawless Point,La prière,Present,6,6,630,Luxance,4.4.6
Lawless Point,La prière,Future,9,9,838,Luxance,4.4.6
Lost in the Abyss,FELT,Past,3,3.5,907,Nitro,4.4.6
Lost in the Abyss,FELT,Present,6,6.5,908,Nitro,4.4.6
Lost in the Abyss,FELT,Future,9+,9.7,1179,Nitro,4.4.6
Hybris (The one who shattered),qfeileadh feat.のあ,Past,4,4.5,757,Exschwasion,4.4.6
Hybris (The one who shattered),qfeileadh feat.のあ,Present,7+,7.8,973,Exschwasion,4.4.6
Hybris (The one who shattered),qfeileadh feat.のあ,Future,9+,9.8,1196,Exschwasion,4.4.6
To the Milky Way,黒魔,Past,5,5,928,Nitroだー！,4.4.6
To the Milky Way,黒魔,Present,8+,8.9,1154,Nitroだー！,4.4.6
To the Milky Way,黒魔,Future,10,10.4,1392,Nitroだー！,4.4.6
